
PID    COMMAND      %CPU TIME     #TH   #WQ  #PORT MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS              %CPU_ME %CPU_OTHRS UID  FAULTS    COW     MSGSENT    MSGRECV    SYSBSD     SYSMACH
22515  top          14.2 00:00.55 1/1   0    25    5160K+ 0B     0B     22515 21478 running  *0[1]               0.00000 0.00000    0    2887+     90      257046+    128514+    5330+      136674+
22514  ex2          0.6  00:00.03 1     0    10    40M+   0B     0B     22514 21478 sleeping *0[1]               0.00000 0.00000    501  10609+    80      31+        15+        92+        57+
22509  com.apple.Di 0.0  00:00.05 2     2    33    2100K  0B     0B     22509 1     sleeping  0[1]               0.00000 0.00000    501  2182      140     1245       228        2769       2521
22505  LookupViewSe 0.0  00:00.37 3     1    170   11M    8192B  0B     22505 1     sleeping *0[10]              0.00000 0.00000    501  12484     358     3422       788        7213       6582
22499  com.apple.We 0.0  00:00.13 3     1    90    11M    0B     0B     22499 1     sleeping *9[4]               0.00000 0.00000    501  11665     1813    784        160        2240       1567
22496  com.apple.We 0.7  00:04.54 4     1    121   200M   13M    0B     22496 1     sleeping *1819[4]            0.00000 0.00000    501  107602    1867    27383      14063      33586+     57509
22495  com.apple.We 0.0  00:00.88 4     1    113   64M    2952K  0B     22495 1     sleeping *74[4]              0.00000 0.00200    501  44496     1865    1732+      589+       6880+      5757+
22462  MTLCompilerS 0.0  00:00.06 2     2    24    6516K  0B     0B     22462 1     sleeping  0[2]               0.00000 0.00000    501  4718      455     122        39         553        303
22436  mdworker_sha 0.0  00:00.07 4     1    61    5640K  0B     4652K  22436 1     sleeping *0[1]               0.00000 0.00000    501  6873      190     685        282        1117       918
22427  mdworker_sha 0.0  00:00.06 3     1    59    3360K  0B     3308K  22427 1     sleeping *0[1]               0.00000 0.00000    501  3876      198     651        273        909        70
